パーラー太陽南6条店,北海道札幌市中央区南6条西9−1018−1,4パチ:114台0.4パチ:38台200円/175玉パチ:114台8スロ:36台21.277スロ:144台,,266,180,-
ビッグスロット北五条店,北海道札幌市中央区北5条西16-1-1,3.003スロ:33台6.024スロ:129台1000円/88枚スロ:28台1000円/47枚スロ:274台,464,,,500
クラブイーグル南7条店,北海道札幌市中央区南７条西10−1025−6,2.5スロ:29台1000円/176枚スロ:81台1000円/89枚スロ:175台,285,,,212
マルハン苗穂店,北海道札幌市中央区北一条東14-1-10,4パチ:401台1パチ:160台21.27スロ:560台,,560,560,850
パーラー太陽円山店,北海道札幌市中央区北5条西25-15,4パチ:120台0.5パチ:30台1000円/875玉パチ:90台1000円/178枚スロ:28台21.277スロ:84台,,240,112,78
イーグルR-1 南8条店,北海道札幌市中央区南8条西12-3-25,1000円/232玉パチ:348台21.277スロ:428台,,348,428,539
パーラー太陽モイワ店,北海道札幌市中央区南22条西10-1-21,4パチ:-台1.25パチ:-台20スロ:-台6.25スロ:-台,,175,84,84
ベガスベガス狸小路二丁目店,北海道札幌市中央区南2条西2丁目2番地金市舘ビル1階、2階、3階、4階,,,792,470,-
ベガスベガス狸小路店,"北海道札幌市中央区南2条西4-1-3　札幌ナナイロB1F,1F,2F,3F",[4]パチ：524台[1000円47枚]スロ：531台,,524,531,提携駐車場有
パーラー太陽宮の森店,北海道札幌市中央区宮の森4条1-1-1,4パチ:128台1000円/875玉パチ:128台1000円/178枚スロ:32台21.277スロ:160台,,256,192,立駐完備
ひまわり札幌駅前タワー店,北海道札幌市中央区北4条西2-1-3,4パチ:416台1.25パチ:224台21.277スロ:466台,,640,466,-
ベガスベガス札幌店,北海道札幌市中央区北4条西1-4-1,[4][1.25]パチ[20][5]スロ,,612,560,700
駅前若草,北海道札幌市中央区北4条西3-1　駅前合同ビルＢ2Ｆ,4パチ:124台20スロ:56台,,124,56,-
サン若草,北海道札幌市中央区北4条西3-1駅前合同ビルB1F,1パチ:126台20スロ:58台,,126,58,-
プレイランドハッピーすすきの店,北海道札幌市中央区南5条西3丁目11番地 美松ビル１Ｆ・Ｂ１Ｆ,■パチンコ4円/1円■スロット20円,,,,-
プレイランドハッピー南6条店,北海道札幌市中央区南6条西10丁目1022番地1,1000円/880玉パチ:-台1000円/232玉パチ:-台21.277スロ:-台,,,,大型立体駐車場・屋内駐輪場完備
パーラー太陽新琴似店,北海道札幌市北区新琴似3条1-1-1,4パチンコ:150台1000円/875玉パチンコ:120台1000円47枚スロット:116台6.25円スロット:28台,,270,144,142
クラブイーグル 麻生店,北海道札幌市北区北37条西5-1-30,,,0,544,454
ひまわり新琴似店,北海道札幌市北区新琴似7条17-4,[4][1]パチ[20][5]スロ,,360,240,380
ひまわり篠路店,北海道札幌市北区篠路3条6-6-30,4パチ:256台1パチ:128台21.277スロ:192台,,384,192,500
パーラー太陽北24条店,北海道札幌市北区北23条西4-2-8,4パチ:124台1000円/875玉パチ:124台21.277スロ:192台,,224,192,屋外・立体駐車場完備
がちゃぽん札幌新川店,北海道札幌市北区新川2条8-1-1,,,480,240,400
パーラー太陽新琴似四番通店,北海道札幌市北区新琴似7条9-6-12,4パチ:-台0.5パチ:-台1000円/875玉パチ:-台1000円/178枚スロ:-台1000円/47枚スロ:-台,,256,104,-
パーラー太陽篠路店,北海道札幌市北区篠路4条1-1-6,4パチ:120台0.5パチ:30台200円/175玉パチ:120台500円/89枚スロ:30台21.277スロ:107台,,270,138,-
パチンコジャンボ,北海道札幌市北区北24条西4-2-8 ジャンボビル１F,,,,,店舗裏(東側)に無料駐車場完備100
クラブジェイ篠路店,北海道札幌市北区篠路3条5-1-10,4パチ:100台1000円/890玉パチ:108台20スロ:104台5スロ:43台,,204,147,300
プレイランドハッピー屯田四条店,北海道札幌市北区屯田4条7丁目7番1号 ,4パチ:-台1パチ:-台20スロ:-台,,,,大型駐車場完備
プレイランドハッピー麻生店,北海道札幌市北区北36条西5丁目1番15号 ,4パチ:-台21.277スロ:-台,,,,大型駐車場完備
ビッグローヤル,北海道札幌市北区篠路3条6-46-125,,,,,-
パーラージャパン遊パチ館,北海道札幌市北区新琴似8条7-2-5,,,,,-
パーラージャパン,北海道札幌市北区新琴似7条7-6-15,,,,,-
ＢＩＧ大王東店,北海道札幌市東区北17条東16-1-1,[4]パチ：114台[1.6]パチ：95台[0.5]パチ：38台[1000円/47枚]スロ：182台[5]スロ：23台,,247,205,300
ライジング苗穂,北海道札幌市東区北7条東16-109-2,0.5パチ:34台1パチ:170台2.5パチ:170台20スロ:107台5スロ:72台,,374,179,-
SLOT BAR M’s,北海道札幌市東区北25条東15-15-1,1000円/178枚スロ:-台1000円/89枚スロ:-台21.277スロ:-台,,0,244,220
パーラー太陽美香保店,北海道札幌市東区北19条東8-1-1,4パチ:124台1000円/875玉パチ:93台21.277スロ:80台,,219,80,80
イーグルウイング,北海道札幌市東区北34条東28丁目10-1,0.25パチ:32台1パチ:160台1000円/440玉パチ:192台5スロ:96台21.277スロ:160台,,384,256,640
イーグルプレイス,北海道札幌市東区北41条東1-5-1,4パチ:256台1パチ:128台20スロ:140台5スロ:32台,,384,172,大型立体駐車場完備
ライジング元町,北海道札幌市東区北27条東15-2-10,4パチ:240台0.5パチ:40台1パチ:160台20スロ:160台5スロ:40台,,440,200,-
ベガスベガス栄町店,北海道札幌市東区北42条東16-1-5イオン札幌栄町店2階,4パチ:120台1パチ:360台1000円/178枚スロ:148台21.277スロ:110台,,480,258,640
ひまわりファイターズ通り店,北海道札幌市東区北9条東8-2-25,4パチ:145台1パチ:146台1000円/178枚スロ:27台21.277スロ:-台,,291,118,226
パーラー太陽苗穂本町店,北海道札幌市東区本町1条9-3-30,1000円/890玉パチ:160台1000円/232玉パチ:192台4スロ:32台21.277スロ:256台,,352,288,547
イーグルスタジオ,北海道札幌市東区東苗穂2条3-4-62,1パチ:288台5スロ:126台,,288,126,400
ダイナム北海道札幌東雁来店　ゆったり館,北海道札幌市東区東雁来6条2丁目2番16号,1パチ:280台1000円/89枚スロ:200台,,280,200,363
プレイランドハッピー東苗穂店,北海道札幌市東区東苗穂4条3丁目1番10号,4パチ:-台1パチ:-台20スロ:-台,,,,大型駐車場完備
プレイランドハッピー栄町店,北海道札幌市東区北42条東15丁目1-25 ,4パチ:-台1パチ:-台20スロ:-台5スロ:-台,,,,大型立体駐車場完備
パーラーアイドル元町店,北海道札幌市東区北22条東15-4-26,,,,,-
ガイア北42条店,北海道札幌市東区北42条東7-1-1,,,,,-
パーラーマンモス’21菊水店,北海道札幌市白石区菊水6条4-2-25,4パチ:60台1000円/1780玉パチ:20台1000円/890玉パチ:200台1000円/178枚スロ:155台21.277スロ:120台,,280,275,270
イーグルゴー,北海道札幌市白石区北郷3条5-13-22,4パチ:150台1000円/890玉パチ:144台21.277スロ:129台,,294,129,-
イーグルピュアシティ,北海道札幌市白石区東札幌3条2-1-48,4パチ:180台1000円/750玉パチ:76台21.277スロ:153台,,256,153,183
マルハン白石店,北海道札幌市白石区平和通16-北4-25,4パチ:160台1パチ:160台1000円/178枚スロ:120台1000円/47枚スロ:120台,,320,240,560
パーラー大和,北海道札幌市白石区東札幌4条6-4-21,4パチ:-台1.25パチ:-台1000円/186枚スロ:-台1000円/47枚スロ:-台,,140,248,220
ゴールドラッシュ南郷通店,北海道札幌市白石区南郷通7北2-1,4パチ:64台0.5パチ:32台1パチ:96台1.6パチ:64台6.25スロ:70台10スロ:222台,,256,292,120
ゴールデン大宝菊水店,北海道札幌市白石区菊水元町3条1-6-26,4パチ:69台1パチ:76台20スロ:83台5スロ:38台,,179,121,240
プレイランドハッピー厚別通店,北海道札幌市白石区川下4条1丁目1番2号 ,4パチ:-台1パチ:-台20スロ:-台5スロ:-台,,,,大型駐車場完備
プレイランドハッピー白石店,北海道札幌市白石区本通9丁目北1-1 ,4パチ:-台1パチ:-台20スロ:-台,,,,大型駐車場完備
ＢＯＮＤ菊水駅前店,北海道札幌市白石区菊水二条2-3-11,,,,,-
パーラーアイドル北郷店,北海道札幌市白石区北郷3条4-6-3,,,,,-
パーラー甲子園南郷店,北海道札幌市白石区南郷通21南3-20,,,,,-
パーラーマンモス’21平岸店,北海道札幌市豊平区平岸6条9-3-30,4パチ:64台0.25パチ:32台1000円/890玉パチ:192台2.247スロ:32台8スロ:41台21.277スロ:86台,,288,159,300
R36ひまわり,北海道札幌市豊平区月寒中央通2-1-1,1000円/880玉パチ:44台1000円/232玉パチ:176台1000円/47枚スロ:198台,,220,198,359
パーラー太陽平岸店,北海道札幌市豊平区平岸2条12-3-9,4パチ:134台1000円/875玉パチ:136台21.277スロ:136台,,270,136,有り
ひまわり月寒店,北海道札幌市豊平区月寒西2条10-20-16,[4][100円89玉]パチ[1000円47枚]スロ,,384,265,470
ビッグスロット月寒店,北海道札幌市豊平区月寒中央通8-1-7,6.024スロ:70台21.277スロ:127台,197,,,-
ひまわり豊平店,北海道札幌市豊平区豊平3条10ｰ3,パチンコ：[1000円/232玉][1000円/880玉]パチスロ：[1000円/47枚],,400,240,532
パーラー太陽旭町店,北海道札幌市豊平区旭町1-1-20,4パチ:126台200円/175玉パチ:128台1000円/178枚スロ:35台21.277スロ:121台,,256,156,立体駐車場・青空駐車場完備
MEGA M’S1121西岡店,北海道札幌市豊平区西岡1条2丁目2番47号,,,560,561,-
パーラーマンモス’21月寒店,北海道札幌市豊平区月寒中央通9-3-38,4パチ:80台0.5パチ:40台1000円/890玉パチ:200台2スロ:11台1000円/178枚スロ:60台1000円/89枚スロ:26台21.277スロ:51台,,320,166,250
クラブジェイ,北海道札幌市豊平区西岡3条9-2-10,4パチ:-台1000円/890玉パチ:-台1000円196枚スロ:-台21.277スロ:-台,,195,156,年中無休
SLOT DON BANG ドンバン,北海道札幌市豊平区平岸2条8-4-7,,,0,137,-
ゴールデン大宝川沿店,北海道札幌市南区川沿2条2-5-28,4パチ:131台1パチ:118台20スロ:87台4スロ:28台,,249,115,92
パチンコ＆スロット　キューブ澄川店,北海道札幌市南区澄川3条2-3-8,,,108,144,60
ZOON川沿店,北海道札幌市南区川沿11条1-1-21,4パチ:78台1000円/1780玉パチ:27台1000円/890玉パチ:144台20スロ:100台1000円/178枚スロ:26台,,249,128,300
パチンコ&スロットキューブアネックス,北海道札幌市南区澄川3条2丁目4番8号,パチンコ：[1][4]パチスロ：[5][20],,163,102,94
ひまわり真駒内店,北海道札幌市南区真駒内本町5-1-2,パチンコ[4][1000円/890玉]スロット[20][1000円/178枚][1000円/445枚],,264,200,343
パーラー太陽藤野店,北海道札幌市南区藤野2条4-2-3,1000円/890玉パチ:114台1000円/232玉パチ:152台500円/89枚スロ:38台21.277スロ:152台,,266,190,-
クラブジェイ藤野店,北海道札幌市南区藤野2条6-124-1,4パチ:114台1000円/890玉パチ:158台1000円/94枚スロ:30台21.277スロ:86台,,274,116,-
プレイランドハッピー藻岩店,北海道札幌市南区南36条西11丁目1番1号 ,4パチ:-台1パチ:-台20スロ:-台,,,,大型駐車場完備
1円パチンコビクトリア宮の沢店,北海道札幌市西区発寒6条9-3-1ＡＯビル１Ｆ,2円パチンコ32台1円パチンコ192台新10円スロット86台新5円スロット87台,,224,173,250
ベガスベガス発寒店,北海道札幌市西区発寒14条3-3-10,,,640,620,1050
イーグルウエスト,北海道札幌市西区西町南6-3-38,1パチ:157台2パチ:160台1000円/170枚スロ:42台12.5スロ:96台,,317,138,229
マルハン琴似店,北海道札幌市西区二十四軒2条1-2-53,4パチ:242台1パチ:216台1000円/178枚スロ:40台21.277スロ:320台,,458,360,664
ライジング琴似,北海道札幌市西区琴似4条1-580-1,,,480,238,594
PACHINKO＆SLOT　キューブ琴似店,北海道札幌市西区琴似2条1-3-16,4パチ:-台1パチ:-台20スロ:-台5スロ:-台,,106,118,イトーヨーカドー琴似店様の駐車場がご利用いただけます。
パーラー太陽宮の沢店,北海道札幌市西区宮の沢1条3-8-33,4パチ:90台1000円/875玉パチ:150台1000円/178枚スロ:28台21.277スロ:83台,,240,112,-
プレイランドハッピー二十四軒店,北海道札幌市西区二十四軒１条５丁目４番１号 ,4パチ:-台1パチ:-台1000円/178枚スロ:-台21.277スロ:-台,,,,大型駐車場完備
